id;match;team;player;total_pass;accurate_pass;total_long_balls;accurate_long_balls;goal_assist;accurate_own_half_passes;total_own_half_passes;accurate_opposition_half_passes;total_opposition_half_passes;aerial_won;duel_won;total_clearance;ball_recovery;was_fouled;good_high_claim;saved_shots_from_inside_the_box;saves;punches;minutes_played;touches;rating;possession_lost_ctrl;expected_assists;total_ball_carries_distance;ball_carries_count;total_progression;keeper_save_value;rating_version_original;rating_version_alternative;total_shots;goals_prevented;pass_value_normalized;dribble_value_normalized;defensive_value_normalized;goalkeeper_value_normalized;statistics_type_sport_slug;statistics_type_name;aerial_lost;duel_lost;total_tackle;won_tackle;unsuccessful_touch;fouls;challenge_lost;outfielder_block;best_ball_carry_progression;total_progressive_ball_carries_distance;progressive_ball_carries_count;interception_won;total_cross;accurate_cross;dispossessed;big_chance_created;shot_off_target;blocked_scoring_attempt;total_offside;expected_goals;key_pass;shot_value_normalized;total_contest;won_contest;on_target_scoring_attempt;goals;expected_goals_on_target;total_keeper_sweeper;accurate_keeper_sweeper;own_goals;big_chance_missed;last_man_tackle;hit_woodwork;error_lead_to_a_shot;clearance_off_line;error_lead_to_a_goal;penalty_conceded;penalty_faced;penalty_won;penalty_miss;penalty_save;source_id;source;edited
01KNCJNCKHXDPTK9Q6V7SZP8NS;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKADFTZGPNE81VJR1ZV;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:1046805;sofascore;false
01KNCJNCKHXWN57SSHKYFC6ZMK;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK982YY75T6687WNBF6;01KNCJNCKANARXBWV9CWPJSB32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1977:794838;sofascore;false
01KNCJNCKHYG7143XXQS59TFMN;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAD2MKMM4GSX9GGC1M;35;32;5;5;1;16;18;16;17;;1;1;3;;;;;;90;57;7;13;0.307799;115.95549528879;16;43.065599564143;;7;7.2;1;;0.51;0.07;-0.28;;football;player;;6;1;1;3;2;3;;;;;1;9;3;1;1;1;;;0.0148;2;-0.04;;;;;;;;;;;;;;;;;;;;15237889:1963:285949;sofascore;false
01KNCJNCKJ7K0XEK3ENWPFSSNY;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAV20NTC7H187RP2JN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:2057364;sofascore;false
01KNCJNCKJEFTMCZRRR248ZF6W;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAN5C5X87MEVBGZXC6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:973737;sofascore;false
01KNCJNCKJESXRP6JCCR6G942C;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKBVCS7G063WA7735F2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:840020;sofascore;false
01KNCJNCKJHY2H231DJ9MYGBQX;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKBNXEFJN9PY1ZASJC2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:973533;sofascore;false
01KNCJNCKJJ46MZZETA6SMMQ1P;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKB758DVF797N91BJ2F;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:1884646;sofascore;false
01KNCJNCKJQNK2GJHS9SS8EQNY;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKBQY0JPEW1GAGQ3MES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:34141;sofascore;false
01KNCJNCKJSD84YFATMMSVD46R;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAMQDFBRC3YJVMNXVK;;;;;0;;;;;;1;;;;;;;;13;2;6.6;;;6.536121862389;1;-0.80716956323965;;6.6;6.7;0;;;0.03;0.18;;football;player;;;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:1597267;sofascore;false
01KNCJNCKJTTG7E4Q110FSR6VZ;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKAFE8TTDDFYRVKKZ9M;2;1;;;0;1;2;;;;2;;1;;;;;;15;5;6.5;2;0.00002032;7.3613153715895;1;6.1721560754204;;6.5;6.5;0;;-0.04;0.02;-0.01;;football;player;;2;1;;;1;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;15237889:1963:1485294;sofascore;false
01KNCJNCKJXFK5MDR5J904AG64;01KNCJNCKC35NVKX5WASY4JRE0;01KNCJNCK95S6B2E6ZF9KWRNKD;01KNCJNCKBGT2KCQKMEJK2HS1A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;football;player;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15237889:1963:1116665;sofascore;false
