id;slug;name;code3;short_name;complete_name;stadium;foundation;primary_color;secondary_color;text_color;source_ref;source;first_scraped_at;last_scraped_at;created_at;updated_at
01KNDCN5B8H0212H4M87AHN298;trabzonspor;Trabzonspor;TRA;Trabzonspor;Trabzonspor;;;#0099ff;#990000;#990000;3051;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8H0DS5YDDE0VAGXWY;atletico-mineiro-u17;Atlético Mineiro U17;CAM;Atlético-MG U17;Atlético Mineiro U17;;;#374df5;#374df5;#ffffff;481352;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8HGR45C5VGNJ18SZM;olympiacos-fc;Olympiacos FC;OLY;Olympiacos;Olympiacos FC;;;#ff0000;#ffffff;#ffffff;3245;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8HPRG8P33B7YKHE69;chile-u20;Chile U20;CHI;Chile U20;Chile U20;;;#ff0000;#3300cc;#3300cc;22676;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8KFNK96XA2ZCRCNJK;borussia-dortmund;Borussia Dortmund;BVB;Dortmund;Borussia Dortmund;;;#ffe600;#000000;#000000;2673;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8KWCFPDR20NQ6JDQT;ecuador-u20;Ecuador U20;ECU;Ecuador U20;Ecuador U20;;;#ffff00;#000063;#000063;33758;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8M3TMXHFMKYBFKM1X;al-duhail;Al Duhail;DUH;Al Duhail;Al Duhail;;;#cc0033;#cc0033;#cc0033;44441;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8NCN2TH47Y0ZEKJ8W;torino;Torino;TOR;Torino;Torino;;;#6d1b1d;#ffffff;#ffffff;2696;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8RGN18YSYP0GCWPB0;atletico-tucuman;Atlético Tucumán;CAT;Atlético Tucumán;Atlético Tucumán;;;#ffffff;#33ccff;#33ccff;36833;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8X79GYWYSRNFH1EMK;granada;Granada;GCF;Granada;Granada;;;#cc0000;#ffffff;#ffffff;33779;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B8YNK343JY4KEKGXKZ;flamengo;Flamengo;FLA;Flamengo;Flamengo;;;#ff0000;#000000;#000000;5981;sofascore;2026-04-04T23:18:39.208Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.208Z;2026-04-04T23:18:39.208Z
01KNDCN5B908RMAD02XDJ5X22V;lokomotiv-moscow;Lokomotiv Moscow;LOK;Lokomotiv;Lokomotiv Moscow;;;#19683f;#cf3439;#cf3439;2320;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B91AT7ZFEESHDYXR3R;river-plate-de-asuncion;River Plate de Asunción;RPA;River Plate;River Plate de Asunción;;;#ffffff;#ff0000;#ff0000;90970;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B94WFVRCC36DFMC0T3;lazio;Lazio;LAZ;Lazio;Lazio;;;#64b6e1;#ffffff;#ffffff;2699;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9635S58W9TQ2Q6QE6;olimpia;Olimpia;OLI;Olimpia;Olimpia;;;#ffffff;#000000;#000000;5997;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B993KCEYTH98T88X55;cska-moscow;CSKA Moscow;CSKA;CSKA;CSKA Moscow;;;#cc0000;#0000ce;#0000ce;2325;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B99B6TC1AGJWAPS9V4;criciuma;Criciúma;CRI;Criciúma;Criciúma;;;#ffff00;#000000;#000000;1984;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B99Z2G49YNBVKAXJ7T;al-gharafa;Al-Gharafa;ALG;Al-Gharafa;Al-Gharafa;;;#ffff00;#0047ab;#0047ab;34312;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9A9M2J9QPC6STCNB2;valencia;Valencia;VAL;Valencia;Valencia;;;#ffffff;#000000;#000000;2828;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9CD6RE2A95TM89XTQ;botafogo;Botafogo;BOT;Botafogo;Botafogo;;;#000000;#ffffff;#ffffff;1958;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9CQ8XJDRWFGH9ADPA;krc-genk;KRC Genk;GNK;Genk;KRC Genk;;;#0000dd;#ffffff;#ffffff;2890;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9F7W4NKWMCTS4GJED;fulham;Fulham;FUL;Fulham;Fulham;;;#ffffff;#000000;#000000;43;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9H7FV7TTJY26GH387;ca-lanus;CA Lanús;LAN;Lanús;CA Lanús;;;#660033;#ffffff;#ffffff;3218;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z
01KNDCN5B9JPJVYEQGR27RFQEV;gimnasia-y-esgrima;Gimnasia y Esgrima;GLP;Gimnasia;Gimnasia y Esgrima;;;#ffffff;#000033;#000033;3205;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9KF4F9T0F4JRZ7H3Q;manchester-united;Manchester United;MUN;Man Utd;Manchester United;;;#ff0000;#373737;#373737;35;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9N1A95JJV192QKDXJ;argentina;Argentina;ARG;Argentina;Argentina;;;#66ccff;#ffffff;#ffffff;4819;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9N9WZ4GTQ8CFN0QG1;defensor-sporting;Defensor Sporting;DEF;Defensor;Defensor Sporting;;;#9933ff;#ffffff;#ffffff;3229;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9NYBGX7AVQ723SRC5;palmeiras-u20;Palmeiras U20;PAL;Palmeiras U20;Palmeiras U20;;;#339966;#336633;#336633;199339;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9PMJAFEF4HHX6VW8A;milan;Milan;ACM;Milan;Milan;;;#000000;#cc0000;#cc0000;2692;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9QZG5D49CTP8VFETK;ac-sparta-praha;AC Sparta Praha;SPA;Sparta Praha;AC Sparta Praha;;;#942536;#ffffff;#ffffff;2218;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z
01KNDCN5B9R4CX6J772ZPQ93MQ;penarol;Peñarol;PEN;Peñarol;Peñarol;;;#000000;#ffc400;#ffc400;3227;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9R4VJJRW8TE3YK845;atletico-goianiense;Atlético Goianiense;GOI;Atlético-GO;Atlético Goianiense;;;#ff0000;#000000;#000000;7314;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9SR9YP4ZZ7Y0DSZ0Q;botafogo-sp;Botafogo-SP;BOT;Botafogo-SP;Botafogo-SP;;;#ffffff;#ff0000;#ff0000;1979;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.462Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
01KNDCN5B9T63BMG4WPDE9792M;uruguay;Uruguay;URU;Uruguay;Uruguay;;;#7eacfe;#000000;#000000;4725;sofascore;2026-04-04T23:18:39.209Z;2026-04-04T23:29:00.463Z;2026-04-04T23:18:39.209Z;2026-04-04T23:18:39.209Z
